state,delivery_status,max_price,min_price,avg_price,order_count
SP,"On time",6499,300,609.7047857382131,2150
RJ,"On time",4799,300,668.3727922492853,716
AL,Delayed,1476.300048828125,349.8999938964844,749.4033365885417,15
CE,"On time",2690,309,592.419929666722,141
MG,"On time",4099.990234375,300,633.2253069318207,716
SP,Delayed,2649,308,656.7961977322897,192
RJ,Delayed,2690,300,639.2796576084235,117
PI,"On time",1099,300,578.1728302577757,53
RS,"On time",3124,300,616.4084824128048,323
MG,Delayed,2433.60009765625,310,588.2543350219727,60
ES,"On time",1880,305,622.7872109046349,104
SC,"On time",3109.989990234375,300,651.9340257101912,246
MS,"On time",6735,320,900.2683647311463,49
CE,Delayed,1190,309.989990234375,489.87733154296876,30
GO,"On time",2740,301,569.0856037504354,157
BA,"On time",2999.889892578125,300,648.9758074231544,229
PR,"On time",2999.989990234375,301,618.0005384034748,316
BA,Delayed,2029,309,677.5117770724827,45
TO,"On time",2649.989990234375,325,719.6903697826244,27
DF,"On time",3999,319,726.7534852461381,132
AL,"On time",1798,300,641.6802155867866,46
TO,Delayed,987,345,543.7800048828125,5
PE,"On time",3700,307.29998779296875,586.7085337320964,150
RO,"On time",2400,313.8999938964844,813.4257742074819,26
PB,"On time",4590,300,742.1086089701593,79
PR,Delayed,1899,322,775.0558830710019,17
SE,"On time",1349,329.8999938964844,567.2229416791131,34
MS,Delayed,1001,330,531.9877760145399,9
PA,Delayed,1500,300,711.2215388371394,13
MT,"On time",1890,309.8999938964844,637.7896863435444,95
MA,"On time",2499.75,303.989990234375,616.2977589574353,58
PA,"On time",3980,301,697.0523083026593,104
PE,Delayed,2990,320,649.4029998779297,20
DF,Delayed,699,319,492.14666239420575,6
SC,Delayed,1999,313.8999938964844,563.5929977416993,20
RN,"On time",1788,303.45001220703125,682.4183717065928,49
MT,Delayed,750,309.8999938964844,469.3674964904785,8
RS,Delayed,2350,308,594.0706665039063,30
GO,Delayed,2029,318.1400146484375,580.4566711425781,15
MA,Delayed,2199,309,594.1566670735677,18
AC,"On time",961.5999755859375,300,580.9489990234375,10
PI,Delayed,1780,409.989990234375,901.6299997965494,6
AM,"On time",1688,343.3999938964844,778.9210052490234,10
SE,Delayed,1670,370,612.2855529785156,9
PB,Delayed,1380,320.9100036621094,449.6754538796165,11
RO,Delayed,529.9000244140625,355.8999938964844,442.90000915527344,2
AC,Delayed,1200,1200,1200,1
ES,Delayed,6729,325,962.7923548081342,17
AP,"On time",1437,349.8999938964844,783.2899998256138,7
AM,Delayed,399,399,399,1
RR,"On time",949.9000244140625,349,649.4500122070312,2
RN,Delayed,987,330,606.9600036621093,5
RR,Delayed,699,699,699,1
AP,Delayed,385,385,385,1
NULL,"On time",549,549,549,1
